English,Chinese
justify,证明合法
keep,保持
key,钥匙
kick,踢
kid,孩子
kill,杀
killer,杀手
killing,杀人
kind,种类
king,王
kiss,吻
kitchen,厨房
knee,膝盖
knife,刀
knock,敲
know,知道
knowledge,知识
lab,实验室
label,标签
labor,劳动
laboratory,实验室
lack,缺少
lady,淑女
lake,湖
land,土地
landscape,景观
language,语
lap,圈
large,大的
largely,大部分
last,最后的
late,晚的
later,之后
Latin,拉丁
latter,后者
laugh,笑
launch,发射
law,法律
lawn,草地
lawsuit,诉讼
lawyer,律师
lay,放置
layer,层
lead,带领
leader,领导者
leadership,领导
leading,领导
leaf,叶子
league,联盟
lean,倾斜
learn,学
learning,学习
least,至少
leather,皮革
leave,离开
left,剩下
leg,腿
legacy,遗产
legal,合法的
legend,传奇
legislation,立法
legitimate,合法的
lemon,柠檬
length,长度
less,较少的
lesson,课
let,让
letter,信
level,等级
liberal,自由主义的
library,图书馆
license,执照
lie,说谎
life,生活
lifestyle,生活方式
lifetime,寿命
lift,电梯
light,光
like,喜欢
likely,可能
limit,限制
limitation,局限性
limited,有限的
line,线
link,关联
lip,唇
list,列表
listen,听
literally,字面上地
literary,文学
literature,文学
little,小的
live,居住
living,活的
load,加载
loan,贷款
local,当地的
locate,定位
location,地点
lock,锁
long,长
long-term,长期
look,看
loose,松动的
lose,失去
loss,失利
lost,丢失的
lot,很多
lots,很多
loud,大声
love,爱
lovely,迷人的
lover,情人
low,低的
lower,降低
luck,运气
lucky,幸运的
lunch,午餐
lung,肺
machine,机器
mad,疯狂的
magazine,杂志
mail,邮件
main,主要的
mainly,主要是
maintain,维持
maintenance,维护
major,重大的
majority,多数
make,制作
maker,制作者
makeup,化妆品
male,男性
mall,购物中心
man,男人
manage,管理
management,管理
manager,经理
manner,方式
manufacturer,制造商
manufacturing,制造业
many,许多
map,地图
margin,利润
mark,标记
market,市场
marketing,营销
marriage,婚姻
married,已婚
marry,结婚
mask,面具
mass,大量的
massive,大量的
master,掌握
match,匹配
material,材料
math,数学
matter,事情
may,可能
maybe,也许
mayor,市长
me,我
meal,一顿饭
mean,意思是
meaning,意义
meanwhile,同时
measure,措施
measurement,测量
meat,肉
mechanism,机制
media,媒体
medical,医疗的
medication,药物
medicine,药物
medium,中等的
meet,遇见
meeting,会议
member,成员
membership,会员资格
memory,记忆
mental,精神的
mention,提到
menu,菜单
mere,仅仅
merely,仅仅
mess,混乱
message,信息
metal,金属
meter,仪表
method,方法
Mexican,墨西哥
middle,中间
might,可能
military,军队
milk,牛奶
million,百万
mind,头脑
mine,矿
minister,部长
minor,次要的
minority,少数民族
minute,分钟
miracle,奇迹
mirror,镜子
miss,错过
missile,导弹
mission,使命
mistake,错误
mix,混合
mixture,混合物
mm-hmm,mm嗯
mode,模式
model,模型
moderate,缓和
modern,现代的
modest,谦虚的
mom,妈妈
moment,片刻
money,钱
monitor,监视器
month,月
mood,情绪
moon,月亮
moral,道德
more,更多的
moreover,而且
morning,早晨
mortgage,抵押
most,最多
mostly,大多
mother,母亲
motion,运动
motivation,动机
motor,马达
mount,山
mountain,山
mouse,鼠
mouth,嘴
move,移动
movement,移动
movie,电影
Mr,先生
Mrs,太太
Ms,小姐
much,很多
multiple,多
murder,谋杀
muscle,肌肉
museum,博物馆
music,音乐
musical,音乐
musician,音乐家
Muslim,穆斯林
must,必须
mutual,相互的
my,我的
myself,我
mystery,神秘
myth,神话
naked,裸
name,姓名
narrative,叙述
narrow,狭窄
nation,国家
national,国民
native,本国的
natural,自然
naturally,自然
nature,自然
near,靠近
nearby,附近
nearly,几乎
necessarily,一定
necessary,必要的
neck,脖子
need,需要
negative,消极的
negotiate,谈判
negotiation,谈判
neighbor,邻居
neighborhood,邻里
neither,两者都不
nerve,神经
nervous,紧张的
net,网
network,网络
never,绝不
nevertheless,尽管如此
new,新的
newly,新
news,消息
newspaper,报纸
next,下一个
nice,好的
night,夜晚
nine,九
no,不
nobody,没有人
nod,点头
noise,噪音
nomination,提名
none,没有任何
nonetheless,尽管如此
nor,也不
normal,普通的
normally,一般
north,北
northern,北方
nose,鼻子
not,不是
note,笔记
nothing,没有什么
notice,注意
notion,概念
novel,小说
now,现在
nowhere,无处
n't,不
nuclear,核
number,数字
numerous,很多的
nurse,护士
nut,坚果
object,目的
objective,客观的
obligation,义务
observation,观察
observe,观察
observer,观察者
obtain,获得
obvious,明显的
obviously,明显地
occasion,场合
occasionally,偶尔
occupation,职业
occupy,占据
occur,发生
ocean,海洋
odd,奇怪的
odds,赔率
of,的
off,离开
offense,罪行
offensive,进攻
offer,提供
office,办公室
officer,官
official,官方的
often,经常
oh,哦
oil,油
ok,好的
okay,好的
old,老的
Olympic,奥林匹克
on,上
once,一次
one,一
ongoing,正在进行
onion,洋葱
online,在线的
only,只要
onto,上
open,打开
opening,开场
operate,操作
operating,操作
operation,手术
operator,操作员
opinion,观点
opponent,对手
opportunity,机会
oppose,反对
opposite,对面的
opposition,反对
option,选项
or,或者
orange,橙
order,命令
ordinary,普通的
organic,有机的
organization,组织
organize,组织
orientation,方向
origin,起源
original,原来的
originally,起初
other,其他
others,其他
otherwise,否则
ought,应该
our,我们的
ourselves,我们自己
out,出去
outcome,结果
outside,外部
oven,烤箱
over,超过
overall,全面的
overcome,克服
overlook,俯瞰
owe,欠
own,自己的
owner,所有者
pace,步伐
pack,盒
package,包裹
page,页
pain,疼痛
painful,痛苦
paint,画
painter,画家
painting,绘画
pair,一对
pale,苍白
Palestinian,巴勒斯坦
palm,棕榈
pan,平底锅
panel,控制板
pant,喘气
paper,纸
parent,父母
park,公园
parking,停車處
part,部分
participant,参与者
participate,参加
participation,参与
particular,特定
particularly,特别
partly,部分地
partner,伙伴
partnership,合伙
party,派对
pass,经过
passage,通道
passenger,乘客
passion,热情
past,过去的
patch,修补
path,小路
patient,病人
pattern,图案
pause,暂停
pay,支付
payment,支付
PC,个人电脑
peace,和平
peak,顶峰
peer,同行
penalty,惩罚
people,人们
pepper,胡椒
per,每
perceive,感知
percentage,百分比
perception,洞察力
perfect,完美的
perfectly,完美
perform,履行
performance,表现
perhaps,也许
period,时期
permanent,永恒的
permission,允许
permit,允许
person,人
personal,个人的
personality,性格
personally,亲自
personnel,人员
perspective,看法
persuade,说服
pet,宠物
phase,阶段
phenomenon,现象
philosophy,哲学
phone,电话
photo,照片
photograph,照片
photographer,摄影师
phrase,短语
physical,身体的
physically,身体上
physician,医师
piano,钢琴
pick,挑选
picture,图片
pie,馅饼
piece,片
pile,桩
pilot,飞行员
pine,松树
pink,粉色的
pipe,管道
pitch,沥青
place,地方
plan,计划
plane,飞机
planet,行星
planning,规划
plant,植物
plastic,塑料
plate,盘子
platform,平台
play,玩
player,球员
please,请
pleasure,乐趣
plenty,很多
plot,阴谋
plus,加
PM,下午
pocket,口袋
poem,诗
poet,诗人
poetry,诗歌
point,观点
pole,极
police,警察
policy,政策
political,政治的
politically,政治上
politician,政治家
politics,政治
poll,轮询
pollution,污染
pool,水池
poor,较差的
pop,流行音乐
popular,受欢迎的
population,人口
porch,门廊
port,港口
portion,部分
portrait,肖像
portray,写真
pose,姿势
position,位置
positive,积极的
possess,具有
possibility,可能性
possible,可能的
possibly,可能
post,邮政
pot,锅
potato,土豆
potential,潜在的
potentially,可能
pound,磅
pour,倒
poverty,贫困
powder,粉末
power,力量
powerful,强大的
practical,实际的
practice,实践
pray,祈祷
prayer,祷告
precisely,恰恰
predict,预测
prefer,更喜欢
preference,偏爱
pregnancy,怀孕
pregnant,孕
preparation,准备
prepare,准备
prescription,处方
presence,在场
present,当下
presentation,介绍
preserve,保存
president,总统
presidential,总统
press,按
pressure,压力
pretend,假装
pretty,漂亮的
prevent,防止
previous,以前的
previously,之前
price,价格
pride,自豪
priest,牧师
primarily,主要是
primary,基本的
prime,主要
principal,主要的
principle,原则
print,打印
prior,事先的
priority,优先
prison,监狱
prisoner,囚犯
privacy,隐私
private,私人的
probably,大概
problem,问题
procedure,程序
proceed,继续
process,过程
produce,生产
producer,制作人
product,产品
production,生产
profession,职业
professional,专业的
professor,教授
profile,轮廓
profit,利润
program,程序
progress,进步
project,项目
prominent,著名的
promise,承诺
promote,推动
prompt,迅速的
proof,证明
proper,恰当的
properly,适当地
property,财产
proportion,部分
proposal,提议
propose,提出
proposed,建议的
prosecutor,检察官
prospect,展望
protect,保护
protection,保护
protein,蛋白质
protest,抗议
proud,自豪的
prove,证明
provide,提供
provider,提供者
province,省
provision,条款
psychological,心理
psychologist,心理学家
psychology,心理学
public,上市
publication,出版物
publicly,公开
publish,发布
publisher,出版商
pull,拉
punishment,惩罚
purchase,购买
pure,纯的
purpose,目的
pursue,追求
push,推
put,放
qualify,资格
quality,质量
quarter,四分之一
quarterback,四分卫
question,问题
quick,快的
quickly,迅速地
quiet,安静的
quietly,悄悄
quit,退出
quite,相当
quote,引用
race,种族
racial,种族
radical,激进的
radio,收音机
rail,轨
rain,雨
raise,增加
range,范围
rank,秩
rapid,迅速的
rapidly,迅速
rare,稀有的
rarely,很少
rate,速度
rather,相当
rating,评分
ratio,比率
raw,生的
reach,抵达
react,反应
reaction,反应
read,读
reader,读者
reading,阅读
ready,准备好
real,真实的
reality,现实
realize,意识到
really,真的
reason,原因
reasonable,合理的
recall,记起
receive,收到
recent,最近的
recently,最近
recipe,食谱
recognition,认出
recognize,认出
recommend,推荐
recommendation,推荐
record,记录
recording,记录
recover,恢复
recovery,恢复
recruit,招募
red,红色的
reduce,减少
reduction,减少
refer,参考
reference,参考
reflect,反映
reflection,反射
reform,改革
refugee,难民
refuse,拒绝
regard,看待
regarding,关于
regardless,不管
regime,政权
region,地区
regional,区域
register,登记
regular,常规的
regularly,经常
regulate,调节
regulation,规定
reinforce,加强
reject,拒绝
relate,涉及
relation,关系
relationship,关系
relative,相对的
relatively,相对地
relax,放松
release,发布
relevant,相关的
relief,宽慰
religion,宗教
religious,宗教
rely,依靠
remain,保持
remaining,其余的
remarkable,卓越
remember,记住
remind,提醒
remote,偏僻的
remove,消除
repeat,重复
repeatedly,反复
replace,代替
reply,回复
report,报告
reporter,记者
represent,代表
representation,表示
representative,代表
Republican,共和党人
reputation,名声
request,要求
require,要求
requirement,要求
research,研究
researcher,研究员
resemble,类似
reservation,预订
resident,居民
resist,抵抗
resistance,反抗
resolution,解析度
resolve,解决
resort,采取
resource,资源
respect,尊重
respond,回应
respondent,受访者
response,回复
responsibility,责任
responsible,负责任的
rest,休息
restaurant,餐厅
restore,恢复
restriction,限制
result,结果
retain,保持
retire,退休
retirement,退休
return,返回
reveal,揭示
revenue,收入
review,审查
revolution,革命
rhythm,韵律
rice,白饭
rich,富有的
rid,骑
ride,骑
rifle,步枪
right,正确的
ring,戒指
rise,上升
risk,风险
river,河
road,路
rock,岩石
role,角色
roll,卷
romantic,浪漫的
roof,屋顶
room,房间
root,根
rope,绳索
rose,玫瑰
rough,粗糙的
roughly,大致
round,圆形的
route,路线
routine,常规
row,排
rub,擦
rule,规则
run,跑
running,跑步
rural,乡村的
rush,匆忙
Russian,俄语
sacred,神圣
sad,伤心
safe,安全的
safety,安全
sake,清酒
salad,沙拉
salary,薪水
sale,销售
sales,销售量
salt,盐
same,相同的
sample,样本
sanction,制裁
sand,沙
satellite,卫星
satisfaction,满意
satisfy,满足
sauce,酱
save,节省
saving,保存
say,说
scale,规模
scandal,丑闻
scared,害怕的
scenario,设想
scene,场景
schedule,日程
scheme,方案
scholar,学者
scholarship,奖学金
school,学校
science,科学
scientific,科学
scientist,科学家
scope,范围
score,分数
scream,尖叫
screen,屏幕
script,脚本
sea,海
search,搜索
season,季节
seat,座位
second,第二
secret,秘密
secretary,秘书
section,部分
sector,部门
secure,安全的
security,安全
see,看
seed,种子
seek,寻找
seem,似乎
segment,部分
seize,抢占
select,选择
selection,选择
self,自己
sell,卖
Senate,参议院
senator,参议员
send,发送
senior,高级的
sense,感觉
sensitive,敏感的
sentence,句子
separate,分离
sequence,序列
series,系列
serious,严肃的
seriously,严重地
serve,服务
service,服务
session,会议
set,放
setting,环境
settle,定居
settlement,沉降
seven,七
several,一些
severe,严重的
sex,性别
sexual,性
shade,阴影
shadow,阴影
shake,摇
shall,将
shape,形状
share,分享
sharp,锋利的
she,她
sheet,床单
shelf,架子
shell,壳
shelter,庇护所
shift,转移
shine,闪耀
ship,船
shirt,衬衫
shit,拉屎
shock,震惊
shoe,鞋子
shoot,射击
shooting,射击
shop,店铺
shopping,购物
shore,支撑
short,短的
shortly,不久
shot,射击
should,应该
shoulder,肩膀
shout,喊
show,节目
shower,淋浴
shrug,耸耸肩
shut,关闭
sick,生病的
side,边
sigh,叹
sight,视线
sign,符号
signal,信号
significance,意义
significant,重要的
significantly,显著地
silence,安静
silent,沉默的
silver,银
similar,相似的
similarly,相似地
simple,简单的
simply,简单地
sin,罪
since,自从
sing,唱歌
singer,歌手
single,单身的
sink,下沉
sir,先生
sister,姐姐
sit,坐
site,地点
situation,情况
six,六
size,尺寸
ski,滑雪
skill,技能
skin,皮肤
sky,天空
slave,奴隶
sleep,睡觉
slice,片
slide,滑动
slight,轻微
slightly,轻微地
slip,滑
slow,减缓
slowly,慢慢地
small,小的
smart,聪明的
smell,闻
smile,微笑
smoke,抽烟
smooth,光滑的
snap,折断
snow,雪
so,所以
so-called,所谓的
soccer,足球
social,社会的
society,社会
soft,柔软的
software,软件
soil,土壤
solar,太阳的
soldier,士兵
solid,坚硬的
solution,解决方案
solve,解决
some,一些
somebody,有人
somehow,不知何故
someone,有人
something,某物
sometimes,有时
somewhat,有些
somewhere,某处
son,儿子
song,歌曲
soon,很快
sophisticated,复杂的
sorry,对不起
sort,种类
soul,灵魂
sound,声音
soup,汤
source,资源
south,南
southern,南方
Soviet,苏联
space,空间
Spanish,西班牙语
speak,说话
speaker,扬声器
special,特别的
specialist,专家
species,物种
specific,具体的
specifically,具体来说
speech,演讲
speed,速度
spend,花费
spending,开支
spin,旋转
spirit,精神
spiritual,精神
split,分裂
spokesman,发言人
sport,运动
spot,点
spread,传播
spring,春天
square,正方形
squeeze,挤
stability,稳定
stable,稳定的
staff,职员
stage,阶段
stair,楼梯
stake,赌注
stand,站立
standard,标准
standing,常设
star,星星
stare,盯
start,开始
state,状态
statement,陈述
station,车站
statistics,统计数据
status,地位
stay,停留
steady,稳定的
steal,偷
steel,钢
step,步
stick,戳
still,仍然
stir,搅拌
stock,股票
stomach,胃
stone,结石
stop,停止
storage,贮存
store,店铺
storm,风暴
story,故事
straight,直的
strange,奇怪的
stranger,陌生人
strategic,战略
strategy,战略
stream,溪流
street,街道
strength,力量
strengthen,加强
stress,压力
stretch,拉紧
strike,罢工
string,细绳
strip,跳闸
stroke,中风
strong,强的
strongly,强烈
structure,结构体
struggle,斗争
student,学生
studio,工作室
study,学习
stuff,东西
stupid,愚蠢的
style,风格
subject,主题
submit,提交
subsequent,随后的
substance,物质
substantial,重大的
succeed,成功
success,成功
successful,成功的
successfully,成功地
such,这样的
sudden,突然
suddenly,突然
sue,起诉
suffer,遭受
sufficient,充足的
sugar,糖
suggest,建议
suggestion,建议
suicide,自杀
suit,套装
summer,夏天
summit,首脑
sun,太阳
super,极好的
supply,供应
support,支持
supporter,支持者
suppose,认为
supposed,应该
Supreme,最高
sure,当然
surely,一定
surface,表面
surgery,手术
surprise,惊喜
surprised,惊讶
surprising,奇怪
surprisingly,出奇
surround,环绕
survey,民意调查
survival,生存
survive,存活
survivor,幸存者
suspect,嫌疑犯
sustain,支持
swear,发誓
sweep,扫
sweet,甜的
swim,游泳
swing,摇摆
switch,转变
symbol,象征
symptom,症状
system,系统
table,桌子
tablespoon,汤匙
tactic,战术
tail,尾巴
take,拿
tale,故事
talent,天赋
talk,讲话
tall,高
tank,坦克
tap,轻敲
tape,胶带
target,目标
task,任务
taste,品尝
tax,税
taxpayer,纳税人
tea,茶
teach,教
teacher,老师
teaching,教学
team,团队
tear,眼泪
teaspoon,茶匙
technical,技术的
technique,技术
technology,技术
teen,青少年
teenager,青少年
telephone,电话
telescope,望远镜
television,电视
tell,告诉
temperature,温度
temporary,暂时的
ten,十
tend,趋向
tendency,趋势
tennis,网球
tension,紧张
tent,帐篷
term,学期
terms,术语
terrible,糟糕的
territory,领土
terror,恐怖
terrorism,恐怖主义
terrorist,恐怖分子
test,测试
testify,作证
testimony,见证
testing,测试
text,文本
than,比
thank,感谢
thanks,谢谢
that,那
the,这
theater,剧院
their,他们的
them,他们
theme,主题
themselves,他们自己
then,然后
theory,理论
therapy,治疗
there,那里
therefore,所以
these,这些
they,他们
thick,厚的
thin,薄的
thing,事物
think,思考
thinking,思维
third,第三
thirty,三十
this,这个
those,那些
though,尽管
thought,想法
thousand,千
threat,威胁
threaten,威胁
three,三
throat,喉
through,通过
throughout,始终
throw,扔
thus,因此
ticket,票
tie,领带
tight,紧的
time,时间
tiny,微小的
tip,小费
tire,胎
tired,疲劳的
tissue,组织
title,标题
to,至
tobacco,烟草
today,今天
toe,脚趾
together,一起
tomato,番茄
tomorrow,明天
tone,语气
tongue,舌头
tonight,今晚
too,也
tool,工具
tooth,齿
top,最佳
topic,话题
toss,折腾
total,全部的
totally,完全
touch,触碰
tough,艰难的
tour,旅游
tourist,游客
tournament,比赛
toward,走向
towards,向
tower,塔
town,镇
toy,玩具
trace,痕迹
track,追踪
trade,贸易
tradition,传统
traditional,传统的
traffic,交通
tragedy,悲剧
trail,踪迹
train,火车
training,训练
transfer,转移
transform,转换
transformation,转型
transition,过渡
translate,翻译
transportation,运输
travel,旅行
treat,对待
treatment,治疗
treaty,条约
tree,树
tremendous,巨大的
trend,趋势
trial,审判
tribe,部落
trick,诡计
trip,旅行
troop,部队
trouble,麻烦
truck,卡车
TRUE,真的
truly,真的
trust,相信
truth,真相
try,尝试
tube,管子
tunnel,隧道
turn,转动
TV,电视
twelve,十二
twenty,二十
twice,两次
twin,双胞胎
two,二
type,类型
typical,典型的
typically,通常
ugly,丑陋的
ultimate,最终的
ultimately,最终
unable,无法
uncle,叔叔
under,在下面
undergo,经历
understand,理解
understanding,理解
unfortunately,很遗憾
uniform,制服
union,联盟
unique,独特的
unit,单元
United,团结的
universal,普遍的
universe,宇宙
university,大学
unknown,未知
unless,除非
unlike,与众不同
unlikely,不太可能
until,直到
unusual,异常
up,向上
upon,之上
upper,上
urban,城市的
urge,敦促
us,我们
use,利用
used,用过的
useful,有用
user,用户
usual,通常
usually,通常
utility,效用
vacation,假期
valley,谷
valuable,有价值的
value,价值
variable,多变的
variation,变化
variety,种类
various,各种各样的
vary,各不相同
vast,广阔的
vegetable,蔬菜
vehicle,车辆
venture,冒险
version,版本
versus,相对
very,非常
vessel,血管
veteran,老将
via,通过
victim,受害者
victory,胜利
video,视频
view,看法
viewer,观众
village,村庄
violate,违反
violation,违反
violence,暴力
violent,暴力
virtually,几乎
virtue,美德
virus,病毒
visible,可见的
vision,想象
visit,访问
visitor,游客
visual,视觉的
vital,重要
voice,嗓音
volume,体积
volunteer,志愿者
vote,投票
voter,选民
vs,vs
vulnerable,易受伤害的
wage,工资
wait,等待
wake,唤醒
walk,走
wall,墙
wander,漫步
want,想
war,战争
warm,温暖的
warn,警告
warning,警告
wash,洗
waste,浪费
watch,手表
water,水
wave,海浪
way,方法
we,我们
weak,虚弱的
wealth,财富
wealthy,富裕
weapon,武器
wear,穿
weather,天气
wedding,婚礼
week,星期
weekend,周末
weekly,每周
weigh,称重
weight,重量
welcome,欢迎
welfare,福利
well,出色地
west,西方
western,西
wet,弄湿
what,什么
whatever,任何
wheel,车轮
when,什么时候
whenever,每当
where,在哪里
whereas,然而
whether,无论
which,哪个
while,尽管
whisper,耳语
white,白色的
who,谁
whole,所有的
whom,谁
whose,谁的
why,为什么
wide,宽的
widely,广泛
widespread,广泛
wife,妻子
wild,荒野
will,将要
willing,愿意的
win,赢
wind,风
window,窗户
wine,葡萄酒
wing,翅膀
winner,优胜者
winter,冬天
wipe,擦拭
wire,金属丝
wisdom,智慧
wise,明智的
wish,希望
with,和
withdraw,提取
within,内
without,没有
witness,见证
woman,女士
wonder,想知道
wonderful,精彩的
wood,木头
wooden,木制的
word,单词
work,工作
worker,工人
working,在职的
works,作品
workshop,作坊
world,世界
worried,担心
worry,担心
worth,值得
would,将
wound,伤口
wrap,裹
write,写
writer,作家
writing,写作
wrong,错误的
yard,院子
yeah,是的
year,年
yell,叫喊
yellow,黄色
yes,是的
yesterday,昨天
yet,然而
yield,屈服
you,你
young,年轻的
your,您的
yours,你的
yourself,你自己
youth,青年
zone,区